Horizon,Events ahead,Mean daily pnl,Std daily pnl,Sharpe-like,t-stat,p-value
k=1,10,0.023663926132851076,0.5690705737446682,0.041583464731157684,0.6933349131950496,0.48867825182504443
k=2,20,0.006301154110405949,0.6899273239543027,0.009133069370685348,0.1522786978013364,0.8790775832215285
k=3,30,0.01654013389052234,0.8525985568763624,0.01939967380559485,0.32345720206272766,0.7465921987342397
k=4,50,-0.1168059905547566,1.951079409717794,-0.05986736878723534,-0.9981885157879254,0.31905599349172553
k=5,100,-0.32821607651459267,4.91527593200008,-0.06677470015015778,-1.113356744839626,0.2665169696707347
